Player_Name,Season,Total_Minutes,FG,FGA,FT,FTA,TRB,AST,PTS,PTOV,SFD,PGA,AND1,PER,TS%,USG%,WS,BPM,VORP,ORtg
Álex Abrines  ,2019,0.1326495726,0.1339285714,0.1885964912,0.04081632653,0.0325203252,0.07051282051,0.05128205128,0.1306990881,0.01646090535,0.01038961039,0.02570694087,0,0.05220883534,0.5025773196,0.07638888889,0.1459459459,0.3,0.1764705882,0.3529411765
Álex Abrines  ,2018,0.3193162393,0.1071428571,0.1359649123,0.05102040816,0.0487804878,0.07051282051,0.03418803419,0.1124620061,0.05761316872,0.03896103896,0.03290488432,0.0380952381,0.1606425703,0.6572164948,0.09375,0.2324324324,0.3947368421,0.2058823529,0.5441176471
Álex Abrines  ,2017,0.2923076923,0.1517857143,0.1842105263,0.0612244898,0.05691056911,0.05769230769,0.05128205128,0.1519756839,0.06995884774,0.03896103896,0.04730077121,0.0380952381,0.2048192771,0.6391752577,0.2048611111,0.227027027,0.3894736842,0.2058823529,0.5
Precious Achiuwa  ,2024,0.4868376068,0.2589285714,0.2412280702,0.09183673469,0.1219512195,0.3974358974,0.1111111111,0.2006079027,0.1399176955,0.1402597403,0.1192802057,0.09523809524,0.3855421687,0.6005154639,0.2048611111,0.2972972973,0.4,0.2156862745,0.5147058824
Precious Achiuwa  ,2023,0.3213675214,0.2946428571,0.2850877193,0.1632653061,0.1869918699,0.358974359,0.07692307692,0.2492401216,0.0329218107,0.1506493506,0.064781491,0.1428571429,0.4096385542,0.6237113402,0.3263888889,0.2324324324,0.3526315789,0.1862745098,0.4852941176
Precious Achiuwa  ,2022,0.5213675214,0.2946428571,0.3289473684,0.112244898,0.1463414634,0.391025641,0.09401709402,0.2462006079,0.07818930041,0.1662337662,0.1017994859,0.1428571429,0.3092369478,0.4922680412,0.2951388889,0.2486486486,0.3368421053,0.1764705882,0.3823529412
Precious Achiuwa  ,2021,0.1835897436,0.1517857143,0.1271929825,0.09183673469,0.1463414634,0.1923076923,0.04273504274,0.1215805471,0.05761316872,0.1532467532,0.03958868895,0.09523809524,0.3694779116,0.6134020619,0.3298611111,0.1837837838,0.2578947368,0.1568627451,0.4117647059
Quincy Acy  ,2018,0.3962393162,0.1428571429,0.1929824561,0.07142857143,0.07317073171,0.2115384615,0.06837606838,0.1489361702,0.08641975309,0.05974025974,0.0735218509,0.009523809524,0.1285140562,0.5489690722,0.1527777778,0.1675675676,0.3421052632,0.1764705882,0.2941176471
Quincy Acy  ,2017,0.1223931624,0.1339285714,0.1622807018,0.1224489796,0.1300813008,0.1666666667,0.04273504274,0.1458966565,0.02057613169,0.07012987013,0.0205655527,0.06666666667,0.2730923695,0.6520618557,0.2361111111,0.1621621622,0.3631578947,0.1960784314,0.4411764706
Quincy Acy  ,2016,0.2311111111,0.1517857143,0.1228070175,0.08163265306,0.09756097561,0.1794871795,0.04273504274,0.1276595745,0.0329218107,0.07272727273,0.03084832905,0.08571428571,0.3895582329,0.8170103093,0.1076388889,0.2486486486,0.4684210526,0.2352941176,0.6617647059
Quincy Acy  ,2015,0.3716239316,0.1696428571,0.1798245614,0.112244898,0.1138211382,0.2564102564,0.08547008547,0.1489361702,0.1028806584,0.1064935065,0.08020565553,0.09523809524,0.2771084337,0.5695876289,0.1909722222,0.2054054054,0.3105263158,0.1666666667,0.3823529412
Quincy Acy  ,2014,0.2211965812,0.0625,0.06140350877,0.0612244898,0.06504065041,0.1923076923,0.03418803419,0.05167173252,0.04115226337,0.06753246753,0.03187660668,0.04761904762,0.2048192771,0.5360824742,0.003472222222,0.1945945946,0.3842105263,0.2058823529,0.4411764706
